estagio,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
I,gdf2,1.0637140986149338,0.9326248599161373,1.2132291687934693,0.3573223627119698,479,216,0.7697384817892213
I,tgfb1,1.0684084123526816,0.9283235051176747,1.229632266438499,0.35612639570570603,479,216,0.7697384817892213
I,tgfbr3,0.9359515964824227,0.8130911191669118,1.0773766559589846,0.3565707829650593,479,216,0.7697384817892213
I,klrg1,0.935002660072141,0.8106982538545728,1.0783666674811951,0.35581722857718456,479,216,0.7697384817892213
I,rps6ka2,0.9403470943595004,0.824059881419984,1.0730441777442792,0.3611284732010367,479,216,0.7704913298857146
I,ros1,1.0669078018644451,0.9282346276869415,1.2262979894595412,0.3619441517406161,479,216,0.7704913298857146
I,ackr3,1.0651095104906687,0.9299174274472619,1.2199559185076252,0.36239878501782075,479,216,0.7704913298857146
I,maml2,0.9371060857219518,0.8142960416522513,1.0784380261940945,0.36475205316808545,479,216,0.7721374631999731
I,abcc1,1.06430600497579,0.9292022238869418,1.2190535527230402,0.36822185357932513,479,216,0.7735164809825985
I,abcc10,1.069146897580084,0.9241501610103325,1.23689324184659,0.3685671576052054,479,216,0.7735164809825985
I,cul1,0.9338957745659471,0.8004124231035931,1.089639906350193,0.3848108987854185,479,216,0.7874154242452248
I,pdgfra,0.9452786026038296,0.8332313562943893,1.0723931952279382,0.38200190127092937,479,216,0.7874154242452248
I,ncor1,0.944897889026136,0.8321298579207113,1.072947944587659,0.3820650424434793,479,216,0.7874154242452248
I,setd1a,0.9432059492733565,0.8269343790458223,1.075825948573069,0.38370372016187193,479,216,0.7874154242452248
I,spaca1,0.9405901428359537,0.8196667613891196,1.0793530474516366,0.3830186244731614,479,216,0.7874154242452248
I,cyp11b2,1.0646220220659002,0.9243950906560762,1.2261208019433094,0.38485130142046775,479,216,0.7874154242452248
I,numbl,1.0648808529196379,0.9219050274228586,1.230030423073858,0.3927870034604952,479,216,0.7974267490737099
I,pde4dip,1.0607397202087496,0.9265051971987903,1.2144224958806369,0.393005821118127,479,216,0.7974267490737099
I,dnah11,1.0648817563631463,0.9203039585254119,1.232172419264616,0.3984457010860021,479,216,0.805123751367996
I,e2f4,1.0622360433970217,0.9221521557821787,1.2236000369534303,0.40272948810327647,479,216,0.8051873520769902
I,numb,1.062724564663059,0.9213911051294275,1.2257373595761427,0.4034169759894941,479,216,0.8051873520769902
I,hsd17b3,0.9400509417631212,0.8135121840556755,1.0862723268681274,0.4019722880271741,479,216,0.8051873520769902
I,fanca,1.0606710631081966,0.9227715410717776,1.2191783708548096,0.40716092286380645,479,216,0.8093564686195177
I,gdf11,1.064572023582497,0.9162065959024062,1.236962927862672,0.4138519675839123,479,216,0.8193263649738182
I,slc19a1,0.9413390656280427,0.8135226465524763,1.0892373312932933,0.4168362887517685,479,216,0.821907037095221
