gene,HR_os,ic_inf,ic_sup,fdr_os,HR_dss,fdr_dss,direcao,significativo_os,forca
mapt,0.904472603494524,0.85224993744363,0.959895277817221,0.0061896341888986,0.734973978727144,1.51842603896899e-12,maior sobrevida (protetor),True,0.1004032637215715
taf1,1.10547443600971,1.04290975015345,1.17179240916214,0.0054455835335728,0.987542397671474,0.859383331338695,menor sobrevida (risco),True,0.10027459667866545
hes6,1.10531647149412,1.04269372949971,1.17170024868415,0.0055065910409906,1.20030371183256,2.43061458027e-05,menor sobrevida (risco),True,0.10013169350738617
cdkn1b,0.905158475706027,0.853394686630192,0.960062066214267,0.0061896341888986,0.864050224436651,0.0017986530187683,maior sobrevida (protetor),True,0.09964523933502309
bcl2l1,1.10454215678156,1.04020990167721,1.17285306950121,0.007317915650496,1.02591024991485,0.717551001401906,menor sobrevida (risco),True,0.09943091135386663
mmp10,0.905606219121636,0.847086109353057,0.968169133050872,0.0188584861390801,0.94835038215541,0.391921531367233,maior sobrevida (protetor),True,0.09915070415216572
prkcq,1.10421736105774,1.04134266115614,1.17088834054643,0.0061896341888986,1.14728752365025,0.0030909035128665,menor sobrevida (risco),True,0.09913681349166119
cdk1,1.10366061104452,1.04140569382585,1.16963710837447,0.0061650984753448,1.29558676345486,1.1310113e-09,menor sobrevida (risco),True,0.09863248306030986
igf1r,0.90644320129137,0.853255678776895,0.962946157411024,0.0087753638758454,0.762801994908411,3.515508e-09,maior sobrevida (protetor),True,0.09822690790264994
kdm5a,1.10293111767393,1.0408000344742,1.16877114723387,0.0061896341888986,1.15244391187849,0.0017161777018865,menor sobrevida (risco),True,0.09797128834297975
map3k1,0.908248574484604,0.85506707030015,0.964737740121075,0.0103132105481514,0.844290562900219,0.0003177961947971,maior sobrevida (protetor),True,0.0962371774007978
adgra2,0.909830959167133,0.857174114590758,0.965722552942701,0.0108868781687761,0.969009763189747,0.624592228748115,maior sobrevida (protetor),True,0.0944964558836072
nrip1,0.910629473714806,0.859281254477523,0.965046117411603,0.0092487498972695,0.84234496426414,0.0001484205706628,maior sobrevida (protetor),True,0.09361918924879212
ep300,1.09812067368615,1.03756963601827,1.16220538084027,0.0075450522467786,1.06708099534172,0.20912550620521,menor sobrevida (risco),True,0.09360024022342738
cdc25a,1.09749418000599,1.03755874697821,1.16089183253959,0.007317915650496,1.25669133033072,3.0510672e-09,menor sobrevida (risco),True,0.09302956299731095
men1,1.09605261254389,1.03062711686377,1.16563140034581,0.0183673727541529,1.12150380772141,0.0217290596917115,menor sobrevida (risco),True,0.09171519151954677
mmp27,0.912589472322286,0.857533359512381,0.971180346228204,0.0204018735182985,0.911618378424538,0.0843709780892957,maior sobrevida (protetor),True,0.0914691464722204
dnah11,1.09571149825314,1.04326061978386,1.15079939244028,0.0024455382659954,1.1084953264477,0.0046713119538258,menor sobrevida (risco),True,0.09140392235346825
gdf11,1.09514801404129,1.03610421282749,1.15755650619894,0.0079939323406484,1.14592785708083,0.0015727673387793,menor sobrevida (risco),True,0.09088952677391339
bard1,1.09510438529698,1.03225783671971,1.16177719561581,0.0142205995946616,1.23713460065053,1.4547186415e-06,menor sobrevida (risco),True,0.09084968776327798
rbl1,1.09259656641107,1.03080494999023,1.15809228209914,0.0154184554458111,1.20565996945038,8.8130425044e-06,menor sobrevida (risco),True,0.08855703438903062
pms2,0.915319899539021,0.863872957683229,0.969830703740281,0.0147714898524465,0.873914489407361,0.0042291572424647,maior sobrevida (protetor),True,0.08848165782585525
mmp7,0.915567730635292,0.861426410567903,0.973111874789195,0.0225380678564403,1.03326598970875,0.608616147543805,maior sobrevida (protetor),True,0.08821093547927306
map4,1.09200528918755,1.03794945344546,1.14887632307642,0.0052466279934356,1.06430510019122,0.195405623659725,menor sobrevida (risco),True,0.08801572088932572
ccne1,1.09132319909041,1.02974889369178,1.15657936820217,0.0169289641313711,1.27052182070871,3.683552e-10,menor sobrevida (risco),True,0.08739090412630308
smad4,0.91700516359978,0.86813723590228,0.968623894118179,0.0109702563863415,0.916244288885011,0.0679278391188046,maior sobrevida (protetor),True,0.08664217577120979
tgfbr2,0.917915231233129,0.869242355870946,0.96931352463324,0.0115893978912367,0.940071787918747,0.222255364419704,maior sobrevida (protetor),True,0.08565023332996442
afdn,1.08920353161044,1.02726276105953,1.15487913924673,0.0213309516687125,1.03869439219344,0.533263432325778,menor sobrevida (risco),True,0.08544672420152424
shbg,0.918281021188697,0.865410767647896,0.974381259626804,0.0236485390317203,0.921674630226964,0.119205117831574,maior sobrevida (protetor),True,0.08525181190858928
inhba,0.918619264168685,0.865730538989508,0.974739037722733,0.0240748533860537,0.928410580379454,0.163010697236743,maior sobrevida (protetor),True,0.08488353608381302
hes1,1.08837265009667,1.02515381717893,1.15549004025382,0.0260646962762992,1.01955525307452,0.792327422587834,menor sobrevida (risco),True,0.08468359907086508
