gene,vezes_selecionado,freq_selecao_perc,HR,fdr
afdn,0,0,1.08920353161044,0.0213309516687125
aff2,0,0,0.961676007969404,0.388948229962159
agmo,0,0,0.96818375486254,0.464043215496851
agtr2,0,0,1.02146151503875,0.63779966449571
ahnak,0,0,0.93774577780065,0.0900500855591876
ahnak2,0,0,1.01528593964148,0.739922475680199
alk,0,0,1.0202755812889,0.63779966449571
apc,0,0,1.02928620772678,0.519769063721246
arid2,0,0,0.963342796642348,0.38078100300655
arid5b,0,0,0.938881805905746,0.0916139248122987
asxl1,0,0,1.04671481369643,0.280278554560691
asxl2,0,0,1.07786007917007,0.0443625335624459
bap1,0,0,1.02382838624838,0.600270704158287
bcas3,0,0,1.07277273807473,0.0729636511174082
birc6,0,0,1.00268536688499,0.953221177354183
cacna2d3,0,0,0.92430378315743,0.0660172280249091
ccnd3,0,0,1.0057504415576,0.918449338354895
chd1,0,0,0.975026805670568,0.586830728513073
clk3,0,0,1.02928726993328,0.524349129066628
clrn2,0,0,1.00512147946503,0.918449338354895
col12a1,0,0,1.03298990960596,0.449342227196443
col22a1,0,0,1.03375149133517,0.424817552643231
col6a3,0,0,0.977692235353217,0.606226424841446
ctnna1,0,0,1.07916655119308,0.0486110805298214
ctnna3,0,0,1.08324324548446,0.0347049232921167
dnah2,0,0,0.898446424264094,0.00507419704222158
dnah5,0,0,1.02023405534594,0.647320296173733
dtwd2,0,0,1.08642021618896,0.0248118318315726
fam20c,0,0,0.992595856463194,0.889852340029772
fanca,0,0,1.04002802227972,0.370026578884377
fancd2,0,0,1.16278654745772,0.0000154413112540379
foxp1,0,0,0.979532430109812,0.63779966449571
frmd3,0,0,0.958276906430067,0.339028969791576
gh1,0,0,1.0457899323062,0.260756390413745
gldc,0,0,0.942547255558883,0.15384938274953
gpr32,0,0,1.03587206049493,0.421856538041408
gps2,0,0,1.04147816817691,0.329389433312625
hdac9,0,0,1.01667937355677,0.71927928002437
herc2,0,0,0.98257204981525,0.703224624175284
hist1h2bc,0,0,1.00812832195574,0.872138984184631
kdm3a,0,0,0.974747409397463,0.575990498042758
kdm6a,0,0,1.02464981359596,0.586830728513073
klrg1,0,0,0.924938547753668,0.0615605723174325
l1cam,0,0,0.978292870517104,0.64593530788255
large1,0,0,1.00283426290707,0.950804543101875
ldlrap1,0,0,1.03202528469955,0.463801135735077
lifr,0,0,0.860912112408184,0.000190027263044771
lipi,0,0,1.05761871161297,0.0729636511174082
magea8,0,0,1.08329589301621,0.0122303710426506
map3k10,0,0,0.976227987017756,0.606226424841446
map3k13,0,0,1.07954481796476,0.0337478160460276
men1,0,0,1.09605261254389,0.0183673727541529
mtap,0,0,0.984227280658506,0.739922475680199
muc16,0,0,1.02639674157264,0.544660229948469
myo1a,0,0,1.020370270858,0.63779966449571
myo3a,0,0,1.01311071629934,0.784013926478311
ncoa3,0,0,1.12591072891609,0.000719015371730211
nek1,0,0,0.903631533453678,0.00544558353357281
nf2,0,0,1.02570984173006,0.574232089612184
npnt,0,0,1.06015532112843,0.145561925936522
nr2f1,0,0,1.01063707208716,0.826438727755438
nr3c1,0,0,0.891752996443533,0.00214961121568588
nras,0,0,0.981572935530345,0.685700020173091
nrg3,0,0,1.04438003720844,0.352286248239922
nt5e,0,0,0.966853850337903,0.460252701949221
or6a2,0,0,1.02136760652851,0.64593530788255
palld,0,0,0.943643824039082,0.127568855776018
pbrm1,0,0,1.01840044451234,0.683855642446941
ppp2cb,0,0,0.896732980294165,0.00524662799343566
ppp2r2a,0,0,0.937466603780399,0.106819331188066
prkacg,0,0,1.0564565646311,0.146582427174555
prkce,0,0,0.993394168085388,0.900968553108042
prkcq,0,0,1.10421736105774,0.00618963418889861
prkcz,0,0,1.01909183555516,0.6725820085262
prkg1,0,0,1.0267891550741,0.566011954370792
prps2,0,0,0.940937338335763,0.124330196677205
prr16,0,0,0.995184675192342,0.921619693500207
ptpn22,0,0,0.886418972550649,0.00210329132401889
ptprm,0,0,0.983853216740112,0.716990997675649
rasgef1b,0,0,0.967156231997646,0.456444321149237
rpgr,0,0,0.935114177276251,0.091450879867034
ryr2,0,0,0.955275299572182,0.2966641350977
sbno1,0,0,1.00942010965466,0.85066886005706
setd1a,0,0,1.03229626097148,0.439192719080375
setd2,0,0,1.02412407588943,0.606226424841446
setdb1,0,0,1.00766492418972,0.881468120078687
sf3b1,0,0,1.03927613250736,0.378438953422218
sgcd,0,0,0.953203319759748,0.260756390413745
shank2,0,0,0.994177587799114,0.918449338354895
siah1,0,0,1.02188952276475,0.635969255858227
sik1,0,0,0.952848507139516,0.260756390413745
sik2,0,0,0.939089512415547,0.114972980663737
smarcb1,0,0,1.05474491609607,0.180906217008694
smarcc1,0,0,0.998395595146755,0.971934350756058
smarcc2,0,0,1.06709695352937,0.0905694928217955
smarcd1,0,0,1.07579063047599,0.0615605723174325
spaca1,0,0,0.964078917294779,0.391419681070691
stab2,0,0,0.930317331847984,0.106819331188066
stmn2,0,0,0.935860950859979,0.130661694239412
syne1,0,0,0.873615510093337,0.000509983531847379
taf1,0,0,1.10547443600971,0.00544558353357281
taf4b,0,0,0.895433772242526,0.00691327854674616
tbl1xr1,0,0,1.04440941009587,0.296143744855161
tg,0,0,0.982181213479384,0.681801880969173
thada,0,0,0.987736735010328,0.78911292826078
thsd7a,0,0,1.03951236489309,0.368390199227642
ttyh1,0,0,0.989134988464842,0.827426208159855
ubr5,0,0,1.05892157578977,0.153147123130419
ush2a,0,0,1.06885718675194,0.106819331188066
usp9x,0,0,1.02182462271955,0.643280854306084
utrn,0,0,0.941241901905143,0.114972980663737
zfp36l1,0,0,0.920681912558335,0.026285674549612
ackr3,0,0,1.05477746477047,0.186682995849555
akr1c1,0,0,0.992535424304781,0.889154340155871
akr1c2,0,0,0.972807902880005,0.575990498042758
akr1c3,0,0,0.893378624420042,0.00362006472553466
akr1c4,0,0,0.95279000405185,0.292984743540133
akt3,0,0,1.07096221258184,0.0900500855591876
ar,0,0,1.10704302036738,0.00722019581251663
bche,0,0,1.03383484586201,0.388948229962159
cdk8,0,0,1.02873253780872,0.531233917119277
cyb5a,0,0,0.975770187157326,0.586830728513073
cyp11a1,0,0,0.87225315976645,0.000683518383483835
cyp11b2,0,0,1.02425580464312,0.606226424841446
cyp17a1,0,0,1.03249554067956,0.44999177242876
cyp19a1,0,0,1.03793198187388,0.388754186830211
cyp21a2,0,0,0.995827090672935,0.930868326248896
cyp3a43,0,0,0.99024013729095,0.839449940750974
cyp3a5,0,0,0.997522505970473,0.954703675159406
cyp3a7,0,0,1.05972621291271,0.210701651541028
ddc,0,0,1.03564005221937,0.401361705166086
hes6,0,0,1.10531647149412,0.0055065910409906
hsd17b1,0,0,0.9530190731105,0.269176538039722
hsd17b10,0,0,1.07866758248674,0.0507387152753267
hsd17b11,0,0,0.88846668443872,0.000805963201260038
hsd17b12,0,0,0.999842741701213,0.995839135079119
hsd17b13,0,0,0.936100862992945,0.106819331188066
hsd17b14,0,0,0.994028916934943,0.910252232044517
hsd17b2,0,0,1.01187997135076,0.804287174031401
hsd17b3,0,0,0.961773367899231,0.364537539271155
hsd17b4,0,0,0.972816310178638,0.539635146409506
hsd17b6,0,0,1.01898111511081,0.681801880969173
hsd17b7,0,0,0.949823446203064,0.211347803827542
hsd17b8,0,0,0.984618113871185,0.730472727808399
hsd3b1,0,0,0.949948033479519,0.240596501774191
hsd3b2,0,0,0.980405246737985,0.663524548363839
hsd3b7,0,0,0.945816989554353,0.160757642055807
mecom,0,0,1.04077758039657,0.359704617008123
met,0,0,0.949624807353033,0.23309677368858
ncoa2,0,0,1.04193839253503,0.329389433312625
nrip1,0,0,0.910629473714806,0.0092487498972695
pik3r3,0,0,1.02823837628474,0.507063739027739
prkci,0,0,1.00059322978334,0.988606050396403
prkd1,0,0,0.919531368595495,0.0289508539478276
ran,0,0,1.00884644452054,0.860248911977211
rdh5,0,0,0.87743822084636,0.00121325270130063
sdc4,0,0,1.08629947060692,0.0293123694006329
serpini1,0,0,1.04120808700516,0.339028969791576
shbg,0,0,0.918281021188697,0.0236485390317203
slc29a1,0,0,1.04650249983057,0.269176538039722
sox9,0,0,1.00039712801359,0.991715704535155
srd5a1,0,0,1.05239126868792,0.200891470256596
srd5a2,0,0,1.01479116504094,0.749328892330668
srd5a3,0,0,1.05178360548586,0.214262533642599
st7,0,0,0.99592821781791,0.935020695530019
star,0,0,1.00415081278238,0.935136541280041
tnk2,0,0,1.06014823871538,0.145561925936522
tulp4,0,0,1.07773916243096,0.0443625335624459
ugt2b15,0,0,0.924009174133565,0.0842060966873213
ugt2b17,0,0,0.922025112243069,0.072479892481559
ugt2b7,0,0,0.994761872760865,0.918449338354895
