desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida global (OS),ctnna1,1.07916655119308,1.0165893853621,1.14559571640535,2.49980565649104,0.0124261453297089,0.507225539271857,0.0486110805298214
Sobrevida global (OS),hsd17b10,1.07866758248674,1.01604895025397,1.1451453723927,2.4817531903358,0.0130737793960965,0.530713869288141,0.0507387152753267
Sobrevida global (OS),fgf1,0.923742756369395,0.867253910054892,0.983911020811563,-2.46375673095294,0.0137489392158679,0.528837424361217,0.0529388289492867
Sobrevida global (OS),ptk2,1.07686349426689,1.01452213924651,1.14303566223401,2.43381669353105,0.0149405591870003,0.519266630480671,0.0570776050190871
Sobrevida global (OS),klrg1,0.924938547753668,0.867887619013451,0.985739741388575,-2.40213415130391,0.016299729667608,0.519065999236073,0.0615605723174325
Sobrevida global (OS),smarcd1,1.07579063047599,1.01350125758718,1.14190828275353,2.40065414446764,0.0163657963216078,0.519939287940012,0.0615605723174325
Sobrevida global (OS),cacna2d3,0.92430378315743,0.866102596064126,0.986416029049615,-2.37213563919737,0.0176855968737487,0.539757553826669,0.0660172280249091
Sobrevida global (OS),mmp9,1.07288816885336,1.01177858561117,1.13768865958968,2.35131718610312,0.0187070796249569,0.53529421225097,0.0693012267924541
Sobrevida global (OS),ugt2b17,0.922025112243069,0.861206332979988,0.987138941100423,-2.33175953298032,0.0197133449898719,0.530536959974268,0.072479892481559
Sobrevida global (OS),bcas3,1.07277273807473,1.01108004518666,1.1382297109265,2.32460963506406,0.0200928431286992,0.50430693765957,0.0729636511174082
Sobrevida global (OS),lipi,1.05761871161297,1.00880685367302,1.10879236702374,2.32366717110084,0.0201433392655421,0.516596908107673,0.0729636511174082
Sobrevida global (OS),acvrl1,0.931192668230537,0.876681166779458,0.989093661669184,-2.31627109128997,0.0205434717223241,0.51585630138914,0.0738658652368858
Sobrevida global (OS),erbb4,1.06631044035775,1.00984970924238,1.12592789284355,2.31308100576461,0.0207181858175266,0.523423999356693,0.0739503128815366
Sobrevida global (OS),pik3r1,0.932247176832128,0.878191836568411,0.989629785341067,-2.30200933102579,0.021334645969497,0.536511267917094,0.0755988541962612
Sobrevida global (OS),aph1b,0.933345091108264,0.879496934616135,0.990490159554802,-2.27512024263849,0.0228987176536922,0.55998351526848,0.0805573592277372
Sobrevida global (OS),hla-g,0.931801974766719,0.876699998941822,0.990367196563411,-2.27119892608036,0.0231349384162574,0.500688740124239,0.0808070348967847
Sobrevida global (OS),ugt2b15,0.924009174133565,0.862605915882639,0.989783327661707,-2.25266490181973,0.0242802855478779,0.537498341475182,0.0842060966873213
Sobrevida global (OS),notch3,1.07035316714994,1.00822227052745,1.13631283092819,2.22834962522645,0.0258572095110615,0.530928572864524,0.089043489090909
Sobrevida global (OS),mlst8,1.06875634751737,1.00796454891106,1.13321458735098,2.22546400283729,0.0260501050764098,0.510774581348129,0.0890804292473036
Sobrevida global (OS),akt3,1.07096221258184,1.00800907001937,1.13784696476606,2.21805037141691,0.0265513981116284,0.523253121042157,0.0900500855591876
Sobrevida global (OS),jag1,0.932764418758181,0.876957596908395,0.992122611137115,-2.2112124598482,0.0270211279598913,0.525905152483767,0.0900500855591876
Sobrevida global (OS),rassf1,0.934479559767572,0.879999651342209,0.992332265463376,-2.21111827766869,0.0270276475629358,0.512623283678106,0.0900500855591876
Sobrevida global (OS),ahnak,0.93774577780065,0.885796817270961,0.992741367588311,-2.21050302057767,0.0270702711190196,0.556615001105683,0.0900500855591876
Sobrevida global (OS),tsc2,1.06676164416007,1.00718900578266,1.1298578508279,2.20428600395971,0.0275042366220704,0.503175924250648,0.0905694928217955
Sobrevida global (OS),smarcc2,1.06709695352937,1.00718935649585,1.13056785289446,2.20297033836139,0.0275968393260686,0.50003296946304,0.0905694928217955
