subtipo,gene,diff_z,fdr_subtipo,HR_OS,IC95_inf,IC95_sup,fdr_OS,direcao_subtipo,direcao_risco,coerencia,escore_prioridade,posicao_RF,coef_LASSO
Her2,lama2,-0.70857956580878,6.51200201415178e-26,0.836019289234385,0.78757278023376,0.887445921841682,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.83559024903451,36,
Her2,bcl2,-0.955128013970553,5.42381478455133e-53,0.848651657435112,0.798322775155193,0.902153437282751,0.00000500111289918467,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.830882556325969,9,-0.0233829477224504
Her2,stat5b,-0.668184152914324,8.94942082529836e-21,0.838352623752956,0.789452827075509,0.890281341264032,0.00000048458950633754,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.743937924896016,78,
Her2,kit,-0.840013971151026,1.7479678148004e-35,0.846375388812785,0.793721792258563,0.902521898447049,0.0000109645940866009,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.694936021975406,29,
Her2,abcb1,-0.500687566756975,5.52823346276362e-14,0.821682435024062,0.770195100398744,0.876611684075279,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.647457976664708,34,-0.00546018561644415
Her2,aurka,0.55007563384692,3.12496322377842e-19,1.19059639798958,1.12337575901865,1.26183939036042,0.000000260518764645943,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.631836437933643,2,0.024429104247341
Her2,rps6,-0.667290423819897,3.5552230213116e-19,0.854598681204659,0.807976949213905,0.903910571492544,0.00000164193211732952,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.606501917429459,380,
Her2,vegfa,0.566721429169664,2.66533418129174e-15,1.16458886853576,1.09984047363737,1.23314904772689,0.00000581283519367319,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.452096561136921,115,0.0300249821148067
LumA,aurka,-0.956043824715138,2.25469691994912e-112,1.19059639798958,1.12337575901865,1.26183939036042,0.000000260518764645943,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,1.098145941299,2,0.024429104247341
LumA,bcl2,0.905295086846158,2.01246483458534e-100,0.848651657435112,0.798322775155193,0.902153437282751,0.00000500111289918467,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.787532021871224,9,-0.0233829477224504
LumA,fancd2,-0.775293866209746,2.33715591946191e-69,1.16278654745772,1.09619884514148,1.23341906529206,0.0000154413112540379,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.562583762954462,18,
LumA,e2f7,-0.623871732044251,1.39704150903048e-43,1.1478474004887,1.08443478151925,1.21496808960961,0.0000509308374943492,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.369305479645582,15,0.0111948703000741
LumA,e2f2,-0.926551057340486,3.35242013965089e-102,1.12186372193316,1.05939162386564,1.18801978629704,0.00102323057293891,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.318573411487363,10,
LumA,slc19a1,-0.500128739984739,3.31683976061881e-27,1.14206130724165,1.0784461073269,1.20942903000636,0.000123517776223097,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.259643991470449,95,
LumA,mapt,1.12142115912759,4.15018126566341e-162,0.904472603494524,0.85224993744363,0.959895277817221,0.00618963418889861,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.248646033449024,6,
LumA,rps6kb2,-0.579980360630627,2.37238617442696e-34,1.1308322366223,1.0675398010718,1.1978771621445,0.000500263547621384,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.235382838424199,178,
