desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida específica (DSS),kdr,1.04137509278306,0.964016708268672,1.12494117017596,1.02943760287514,0.303274086734365,0.51385067560806,0.498374685504647
Sobrevida específica (DSS),cacna2d3,0.957503109499896,0.881454853329742,1.04011249270302,-1.02850359948523,0.303712998528394,0.531670247424387,0.498374685504647
Sobrevida específica (DSS),mapk8,0.95926146695976,0.885923646192048,1.03867028038928,-1.0249596730031,0.30538221616817,0.510595254126725,0.499437805037575
Sobrevida específica (DSS),csf1r,0.961289645760936,0.889010380207899,1.03944543688127,-0.989913568605465,0.322216366826774,0.512000583134322,0.525212677927641
Sobrevida específica (DSS),palld,0.962442709962201,0.891873014331207,1.03859625201688,-0.98526718721641,0.324492845866792,0.517633635978399,0.527166118368309
Sobrevida específica (DSS),aph1a,0.961216364571877,0.887912273879123,1.040572280282,-0.97732492959965,0.328408314962135,0.502660550345371,0.529153642291182
Sobrevida específica (DSS),bap1,0.962295793712479,0.890881510499009,1.03943474377198,-0.976885464325573,0.328625858730836,0.525672117901853,0.529153642291182
Sobrevida específica (DSS),hes2,1.03818631692853,0.962839179321226,1.11942975712461,0.974862328754585,0.329628554637288,0.525305805769323,0.529153642291182
Sobrevida específica (DSS),cul1,0.960691366469122,0.886094440974142,1.04156832379365,-0.972398398511447,0.330852388358957,0.495842079318622,0.529153642291182
Sobrevida específica (DSS),smad9,0.961211520386232,0.887501832298154,1.04104301906705,-0.971846700173659,0.331126819102457,0.524198838920263,0.529153642291182
Sobrevida específica (DSS),frmd3,0.959948387647771,0.883523704326205,1.04298379594729,-0.965690265385268,0.334199192035872,0.531721518768401,0.52985794977899
Sobrevida específica (DSS),mapk12,1.03884296155109,0.961472172339174,1.12243986858056,0.965014577816924,0.334537510207646,0.519832126500613,0.52985794977899
Sobrevida específica (DSS),hsd17b14,0.962123479681535,0.889409021022737,1.04078277628673,-0.963014714521798,0.335540138999225,0.524099384867417,0.52985794977899
Sobrevida específica (DSS),npnt,0.96152657845548,0.887682204671334,1.04151390690389,-0.962294347112789,0.335901767753552,0.537034589007671,0.52985794977899
Sobrevida específica (DSS),psenen,0.962092352628602,0.889109422070951,1.0410661185329,-0.960100779203752,0.337004496354613,0.51577551305319,0.529888098769794
Sobrevida específica (DSS),asxl2,1.03826126567211,0.961006240808947,1.12172680053319,0.951757837341481,0.341219809457062,0.514469638098439,0.533263432325778
Sobrevida específica (DSS),mmp13,1.03838585121785,0.960714586441306,1.12233663486204,0.949597970836879,0.342316569925908,0.516744726773155,0.533263432325778
Sobrevida específica (DSS),afdn,1.03869439219344,0.960394395606384,1.12337810935777,0.949389132175431,0.342422735685673,0.511945605428091,0.533263432325778
Sobrevida específica (DSS),hdac9,1.03891412133838,0.959292201857903,1.12514471547449,0.938397415153174,0.34804021382445,0.502216404606267,0.54029099860367
Sobrevida específica (DSS),fam20c,1.03897635876223,0.958864302442311,1.12578168914759,0.933942421207457,0.35033359491915,0.518509572915882,0.542130151631216
Sobrevida específica (DSS),hey1,1.03739139306097,0.959742465261249,1.12132258532922,0.924797755987686,0.355071118106887,0.506917925079594,0.547439874573122
Sobrevida específica (DSS),cxcr2,0.963017746980325,0.888960409160947,1.043244638841,-0.923006448343903,0.356003844814423,0.510363606488111,0.547439874573122
